Px1	Py1	Pz1	Px2	Py2	Pz2	Px3	Py3	Pz3	Px4	Py4	Pz4
0.336395	0.152821	1.40735	-0.370806	-0.880806	-1.45378	-0.256796	0.383821	0.590116	0.352901	0.286596	-0.541166
0.970333	-1.00472	0.852805	-0.654441	0.627038	-0.621973	-0.355852	0.518915	0.414063	0.0350974	-0.304782	-0.62016
-0.545196	0.0684461	1.91229	0.836323	0.177947	-1.83943	-0.310879	-0.169188	0.634647	0.0636797	-0.0927353	-0.711584
-0.287892	0.489252	1.0534	0.391491	-0.467568	-1.50722	-0.173349	0.0391553	0.716839	0.0121376	-0.153922	-0.307309
-0.356865	0.790425	1.29136	0.14637	-0.93091	-1.05045	0.37642	0.208568	0.612355	-0.125604	-0.254956	-0.828
1.04531	1.14403	0.419888	-1.1256	-1.35278	-0.422971	-0.0861667	0.26024	0.664451	0.150878	-0.120663	-0.679022
-0.422693	0.554936	1.19742	0.498864	-0.669655	-1.19887	-0.0330003	-0.0873051	0.642089	-0.0115343	0.133837	-0.652902
0.847894	0.130901	1.2552	-0.602398	-0.21463	-1.17867	-0.383949	0.360592	0.642089	0.104279	-0.357538	-0.698572
-0.688159	-0.017763	1.11093	0.949363	0.789354	-1.43372	-0.408694	-0.0883602	0.761979	0.159918	-0.687086	-0.474883
0.929515	0.214144	0.97445	-1.48548	-0.0366736	-0.942122	0.206304	-0.151066	0.686867	0.341143	-0.015637	-0.711584
-0.22608	0.478083	1.77982	0.0206831	-0.559147	-1.9055	-0.197068	0.0399054	0.906392	0.465283	-0.0538355	-0.776414
0.401994	1.1513	1.26966	-0.799316	0.0812711	-1.64712	0.286551	-0.487646	0.701841	0.0843169	-0.818618	-0.314064
-0.112235	-0.060921	1.58941	-0.472985	-0.0948807	-1.52057	0.215377	0.186885	0.799764	0.325343	0.000872642	-0.840858
0.286824	-1.21424	0.838523	-0.0626365	1.0432	-0.833461	-0.0874088	0.0651667	0.80734	-0.0746629	0.077578	-0.763479
-0.464505	-0.629292	0.995962	0.459471	0.718953	-1.03693	-0.267756	-0.324347	0.754441	0.288742	0.193378	-0.724582
0.135691	0.347238	1.64056	-0.612775	-0.366807	-1.75997	-0.0334244	-0.241774	0.769524	0.453335	0.183572	-0.659438
1.27658	0.254919	0.788583	-1.47908	-0.258521	-0.601439	-0.0131157	0.0577022	0.62721	0.16632	-0.152025	-0.795787
-0.313923	0.260079	1.48006	-0.413244	-1.06068	-1.35337	0.510416	0.237983	0.26979	0.261418	0.487509	-0.441584
